rango_general,rango_filtrado,ticker,categoria,etiqueta,moneda,bolsa,fecha_ultimo,obs,precio_local,precio,ret_1m,ret_3m,ret_6m,ret_12_1,ret_12m,vol_60d,dist_sma200,sobre_sma200,dd_max_1a,dist_max_52s,ratio_6m_vol,rango_3m,rango_6m,rango_12_1,momentum_compuesto,ret_3m_local,ret_6m_local,dist_sma200_local,subyacente,subyacente_sobre_sma200_local,max_salto_diario,estado,nota
12,12,XLK,sector_eua,Tecnologia,USD,PCX,2026-09-24,500,194.710007,3450.021645,0.131469,0.070533,0.427831,0.194314,0.351329,0.264128,0.21626,True,-0.17513,0.0,1.619785,25.0,11.0,20.0,18.666667,0.06494,0.43349,0.195965,,,0.057873,ok,
13,13,LLY,accion_eua,Farma,USD,NYQ,2026-09-24,500,1181.890015,20941.63624,-0.009451,0.064926,0.307768,0.55613,0.541423,0.324773,0.127049,True,-0.267397,-0.034456,0.947638,28.0,19.0,9.0,18.666667,0.059363,0.312951,0.109007,,,0.103706,ok,
14,14,GDX,materias_primas,Mineras de oro,USD,PCX,2026-09-24,501,92.349998,1636.328297,-0.067885,0.244604,0.101622,0.326728,0.236664,0.444429,0.032656,True,-0.382924,-0.180943,0.228656,6.0,39.0,13.0,19.333333,0.238102,0.105988,0.015889,,,0.129677,ok,
15,15,TSM,accion_eua,Semis (ADR),USD,NYQ,2026-09-24,501,451.149994,7993.822559,0.152695,0.031545,0.315745,0.354726,0.561585,0.359544,0.206063,True,-0.216375,-0.040265,0.878183,36.0,17.0,12.0,21.666667,0.026156,0.32096,0.185404,,,0.071786,ok,
16,16,XLE,sector_eua,Energia,USD,PCX,2026-09-24,501,62.599998,1109.194917,0.042776,0.181684,0.038393,0.314235,0.370452,0.230421,0.150372,True,-0.17921,-0.013067,0.166621,9.0,42.0,14.0,21.666667,0.17551,0.042509,0.131099,,,0.050976,ok,
17,17,SOXX,sector_eua,Semiconductores,USD,NGM,2026-09-24,501,566.070007,10030.063739,0.169472,-0.053342,0.655245,0.734963,1.028991,0.483079,0.290312,True,-0.286263,-0.118043,1.356394,56.0,6.0,4.0,22.0,-0.058287,0.661806,0.26704,,,0.099234,ok,
18,18,SMH,sector_eua,Semiconductores,USD,NGM,2026-09-24,501,600.52002,10640.47555,0.14773,-0.024633,0.515875,0.571496,0.803654,0.401391,0.242421,True,-0.242145,-0.08441,1.28522,50.0,9.0,8.0,22.333333,-0.029729,0.521884,0.22048,,,0.085624,ok,
19,19,XLV,sector_eua,Salud,USD,PCX,2026-09-24,500,169.869995,3009.887216,0.020055,0.117807,0.17823,0.193543,0.21748,0.197716,0.114636,True,-0.150176,0.0,0.901447,18.0,29.0,21.0,22.666667,0.111967,0.1829,0.097009,,,0.033618,ok,
20,20,NVDA,accion_eua,Semis,USD,NMS,2026-09-24,501,224.580002,3979.281191,0.127024,0.135739,0.279707,0.085195,0.223041,0.373681,0.14805,True,-0.217644,-0.017729,0.748518,12.0,20.0,39.0,23.666667,0.129806,0.284779,0.128954,,,0.084307,ok,
21,21,SOXL,apalancado,3x Semiconductores,USD,PCX,2026-09-24,501,146.330002,2592.787511,0.376608,-0.358823,1.653709,1.99028,3.116445,1.474345,0.306085,True,-0.692504,-0.503494,1.121657,68.0,3.0,2.0,24.333333,-0.362173,1.664228,0.280249,SOXX,True,0.352968,ok,
22,22,ARKK,tematico,Innovacion (ARK),USD,BTS,2026-09-24,500,91.699997,1624.81107,0.141944,0.201533,0.323739,-0.074926,0.056383,0.349845,0.202434,True,-0.320952,-0.041285,0.925378,8.0,15.0,50.0,24.333333,0.195255,0.328985,0.183617,,,0.061161,ok,
23,23,MSFT,accion_eua,Software,USD,NMS,2026-09-24,501,497.929993,8822.706555,0.067834,0.372208,0.335982,-0.113956,-0.053851,0.37259,0.175416,True,-0.379266,-0.110542,0.901747,4.0,13.0,57.0,24.666667,0.36504,0.341278,0.156716,,,0.13644,ok,
24,24,PLTR,accion_eua,Software,USD,NMS,2026-09-24,501,192.589996,3412.457671,0.144283,0.70574,0.23937,-0.0988,0.031228,0.722624,0.28665,True,-0.510442,-0.109241,0.331251,1.0,22.0,54.0,25.666667,0.696828,0.244282,0.267183,,,0.254472,ok,
